"LOCATION","Country","INDICATOR","Indicator","MEASURE","Measure","INEQUALITY","Inequality","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"BRA","Brazil","IW_HADI","Household net adjusted disposable income","L","Value","LW","Low","USD","US Dollar","0","Units",,,2129,"E","Estimated value"
"CHL","Chile","IW_HADI","Household net adjusted disposable income","L","Value","LW","Low","USD","US Dollar","0","Units",,,2983,"E","Estimated value"
"EST","Estonia","IW_HADI","Household net adjusted disposable income","L","Value","LW","Low","USD","US Dollar","0","Units",,,5287,"E","Estimated value"
"ISR","Israel","IW_HADI","Household net adjusted disposable income","L","Value","LW","Low","USD","US Dollar","0","Units",,,5597,"E","Estimated value"
"RUS","Russia","IW_HADI","Household net adjusted disposable income","L","Value","LW","Low","USD","US Dollar","0","Units",,,5735,"E","Estimated value"
"SVN","Slovenia","IW_HADI","Household net adjusted disposable income","L","Value","LW","Low","USD","US Dollar","0","Units",,,9138,"E","Estimated value"
"AUS","Australia","IW_HNFW","Household net financial wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,38482,,
"AUT","Austria","IW_HNFW","Household net financial wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,48125,,
"BEL","Belgium","IW_HNFW","Household net financial wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,78368,,
"CAN","Canada","IW_HNFW","Household net financial wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,63261,,
"CZE","Czech Republic","IW_HNFW","Household net financial wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,17875,,
"DNK","Denmark","IW_HNFW","Household net financial wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,39951,,
"FIN","Finland","IW_HNFW","Household net financial wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,20190,,
"FRA","France","IW_HNFW","Household net financial wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,47668,,
"DEU","Germany","IW_HNFW","Household net financial wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,49484,,
"GRC","Greece","IW_HNFW","Household net financial wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,14004,,
"HUN","Hungary","IW_HNFW","Household net financial wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,13652,,
"ISL","Iceland","IW_HNFW","Household net financial wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,43045,,
"IRL","Ireland","IW_HNFW","Household net financial wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,28099,,
"ITA","Italy","IW_HNFW","Household net financial wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,54147,,
"JPN","Japan","IW_HNFW","Household net financial wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,85309,,
"KOR","Korea","IW_HNFW","Household net financial wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,28290,,
"LUX","Luxembourg","IW_HNFW","Household net financial wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,57159,,
"MEX","Mexico","IW_HNFW","Household net financial wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,10449,"E","Estimated value"
"NLD","Netherlands","IW_HNFW","Household net financial wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,71073,,
"NZL","New Zealand","IW_HNFW","Household net financial wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,7480,"E","Estimated value"
"NOR","Norway","IW_HNFW","Household net financial wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,8365,,
"POL","Poland","IW_HNFW","Household net financial wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,10406,,
"PRT","Portugal","IW_HNFW","Household net financial wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,29640,,
"SVK","Slovak Republic","IW_HNFW","Household net financial wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,9651,,
"ESP","Spain","IW_HNFW","Household net financial wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,23920,,
"SWE","Sweden","IW_HNFW","Household net financial wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,55301,,
"CHE","Switzerland","IW_HNFW","Household net financial wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,100812,,
"TUR","Turkey","IW_HNFW","Household net financial wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,3317,"E","Estimated value"
"GBR","United Kingdom","IW_HNFW","Household net financial wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,60065,,
"USA","United States","IW_HNFW","Household net financial wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,132822,,
"BRA","Brazil","IW_HNFW","Household net financial wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,6875,"E","Estimated value"
"CHL","Chile","IW_HNFW","Household net financial wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,18141,,
"EST","Estonia","IW_HNFW","Household net financial wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,7843,,
"ISR","Israel","IW_HNFW","Household net financial wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,55932,,
"RUS","Russia","IW_HNFW","Household net financial wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,3331,"E","Estimated value"
"SVN","Slovenia","IW_HNFW","Household net financial wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,18912,,
"AUS","Australia","IW_HNFW","Household net financial wealth","L","Value","MN","Men","USD","US Dollar","0","Units",,,38482,"E","Estimated value"
"AUT","Austria","IW_HNFW","Household net financial wealth","L","Value","MN","Men","USD","US Dollar","0","Units",,,48125,"E","Estimated value"
"BEL","Belgium","IW_HNFW","Household net financial wealth","L","Value","MN","Men","USD","US Dollar","0","Units",,,78368,"E","Estimated value"
"CAN","Canada","IW_HNFW","Household net financial wealth","L","Value","MN","Men","USD","US Dollar","0","Units",,,63261,"E","Estimated value"
"CZE","Czech Republic","IW_HNFW","Household net financial wealth","L","Value","MN","Men","USD","US Dollar","0","Units",,,17875,"E","Estimated value"
"DNK","Denmark","IW_HNFW","Household net financial wealth","L","Value","MN","Men","USD","US Dollar","0","Units",,,39951,"E","Estimated value"
"FIN","Finland","IW_HNFW","Household net financial wealth","L","Value","MN","Men","USD","US Dollar","0","Units",,,20190,"E","Estimated value"
"FRA","France","IW_HNFW","Household net financial wealth","L","Value","MN","Men","USD","US Dollar","0","Units",,,47668,"E","Estimated value"
"DEU","Germany","IW_HNFW","Household net financial wealth","L","Value","MN","Men","USD","US Dollar","0","Units",,,49484,"E","Estimated value"
"GRC","Greece","IW_HNFW","Household net financial wealth","L","Value","MN","Men","USD","US Dollar","0","Units",,,14004,"E","Estimated value"
"HUN","Hungary","IW_HNFW","Household net financial wealth","L","Value","MN","Men","USD","US Dollar","0","Units",,,13652,"E","Estimated value"
"ISL","Iceland","IW_HNFW","Household net financial wealth","L","Value","MN","Men","USD","US Dollar","0","Units",,,43045,"E","Estimated value"
"IRL","Ireland","IW_HNFW","Household net financial wealth","L","Value","MN","Men","USD","US Dollar","0","Units",,,28099,"E","Estimated value"
"ITA","Italy","IW_HNFW","Household net financial wealth","L","Value","MN","Men","USD","US Dollar","0","Units",,,54147,"E","Estimated value"
"JPN","Japan","IW_HNFW","Household net financial wealth","L","Value","MN","Men","USD","US Dollar","0","Units",,,85309,"E","Estimated value"
"KOR","Korea","IW_HNFW","Household net financial wealth","L","Value","MN","Men","USD","US Dollar","0","Units",,,28290,"E","Estimated value"
"LUX","Luxembourg","IW_HNFW","Household net financial wealth","L","Value","MN","Men","USD","US Dollar","0","Units",,,57159,"E","Estimated value"
"MEX","Mexico","IW_HNFW","Household net financial wealth","L","Value","MN","Men","USD","US Dollar","0","Units",,,10449,"E","Estimated value"
"NLD","Netherlands","IW_HNFW","Household net financial wealth","L","Value","MN","Men","USD","US Dollar","0","Units",,,71073,"E","Estimated value"
"NZL","New Zealand","IW_HNFW","Household net financial wealth","L","Value","MN","Men","USD","US Dollar","0","Units",,,7480,"E","Estimated value"
"NOR","Norway","IW_HNFW","Household net financial wealth","L","Value","MN","Men","USD","US Dollar","0","Units",,,8365,"E","Estimated value"
"POL","Poland","IW_HNFW","Household net financial wealth","L","Value","MN","Men","USD","US Dollar","0","Units",,,10406,"E","Estimated value"
"PRT","Portugal","IW_HNFW","Household net financial wealth","L","Value","MN","Men","USD","US Dollar","0","Units",,,29640,"E","Estimated value"
"SVK","Slovak Republic","IW_HNFW","Household net financial wealth","L","Value","MN","Men","USD","US Dollar","0","Units",,,9651,"E","Estimated value"
"ESP","Spain","IW_HNFW","Household net financial wealth","L","Value","MN","Men","USD","US Dollar","0","Units",,,23920,"E","Estimated value"
"SWE","Sweden","IW_HNFW","Household net financial wealth","L","Value","MN","Men","USD","US Dollar","0","Units",,,55301,"E","Estimated value"
"CHE","Switzerland","IW_HNFW","Household net financial wealth","L","Value","MN","Men","USD","US Dollar","0","Units",,,100812,"E","Estimated value"
"TUR","Turkey","IW_HNFW","Household net financial wealth","L","Value","MN","Men","USD","US Dollar","0","Units",,,3317,"E","Estimated value"
"GBR","United Kingdom","IW_HNFW","Household net financial wealth","L","Value","MN","Men","USD","US Dollar","0","Units",,,60065,"E","Estimated value"
"USA","United States","IW_HNFW","Household net financial wealth","L","Value","MN","Men","USD","US Dollar","0","Units",,,132822,"E","Estimated value"
"BRA","Brazil","IW_HNFW","Household net financial wealth","L","Value","MN","Men","USD","US Dollar","0","Units",,,6875,"E","Estimated value"
"CHL","Chile","IW_HNFW","Household net financial wealth","L","Value","MN","Men","USD","US Dollar","0","Units",,,18141,"E","Estimated value"
"EST","Estonia","IW_HNFW","Household net financial wealth","L","Value","MN","Men","USD","US Dollar","0","Units",,,7843,"E","Estimated value"
"ISR","Israel","IW_HNFW","Household net financial wealth","L","Value","MN","Men","USD","US Dollar","0","Units",,,55932,"E","Estimated value"
"RUS","Russia","IW_HNFW","Household net financial wealth","L","Value","MN","Men","USD","US Dollar","0","Units",,,3331,"E","Estimated value"
"SVN","Slovenia","IW_HNFW","Household net financial wealth","L","Value","MN","Men","USD","US Dollar","0","Units",,,18912,"E","Estimated value"
"AUS","Australia","IW_HNFW","Household net financial wealth","L","Value","WMN","Women","USD","US Dollar","0","Units",,,38482,"E","Estimated value"
"AUT","Austria","IW_HNFW","Household net financial wealth","L","Value","WMN","Women","USD","US Dollar","0","Units",,,48125,"E","Estimated value"
"BEL","Belgium","IW_HNFW","Household net financial wealth","L","Value","WMN","Women","USD","US Dollar","0","Units",,,78368,"E","Estimated value"
"CAN","Canada","IW_HNFW","Household net financial wealth","L","Value","WMN","Women","USD","US Dollar","0","Units",,,63261,"E","Estimated value"
"CZE","Czech Republic","IW_HNFW","Household net financial wealth","L","Value","WMN","Women","USD","US Dollar","0","Units",,,17875,"E","Estimated value"
"DNK","Denmark","IW_HNFW","Household net financial wealth","L","Value","WMN","Women","USD","US Dollar","0","Units",,,39951,"E","Estimated value"
"FIN","Finland","IW_HNFW","Household net financial wealth","L","Value","WMN","Women","USD","US Dollar","0","Units",,,20190,"E","Estimated value"
"FRA","France","IW_HNFW","Household net financial wealth","L","Value","WMN","Women","USD","US Dollar","0","Units",,,47668,"E","Estimated value"
"DEU","Germany","IW_HNFW","Household net financial wealth","L","Value","WMN","Women","USD","US Dollar","0","Units",,,49484,"E","Estimated value"
"GRC","Greece","IW_HNFW","Household net financial wealth","L","Value","WMN","Women","USD","US Dollar","0","Units",,,14004,"E","Estimated value"
"HUN","Hungary","IW_HNFW","Household net financial wealth","L","Value","WMN","Women","USD","US Dollar","0","Units",,,13652,"E","Estimated value"
"ISL","Iceland","IW_HNFW","Household net financial wealth","L","Value","WMN","Women","USD","US Dollar","0","Units",,,43045,"E","Estimated value"
"IRL","Ireland","IW_HNFW","Household net financial wealth","L","Value","WMN","Women","USD","US Dollar","0","Units",,,28099,"E","Estimated value"
"ITA","Italy","IW_HNFW","Household net financial wealth","L","Value","WMN","Women","USD","US Dollar","0","Units",,,54147,"E","Estimated value"
"JPN","Japan","IW_HNFW","Household net financial wealth","L","Value","WMN","Women","USD","US Dollar","0","Units",,,85309,"E","Estimated value"
"KOR","Korea","IW_HNFW","Household net financial wealth","L","Value","WMN","Women","USD","US Dollar","0","Units",,,28290,"E","Estimated value"
"LUX","Luxembourg","IW_HNFW","Household net financial wealth","L","Value","WMN","Women","USD","US Dollar","0","Units",,,57159,"E","Estimated value"
"MEX","Mexico","IW_HNFW","Household net financial wealth","L","Value","WMN","Women","USD","US Dollar","0","Units",,,10449,"E","Estimated value"
"NLD","Netherlands","IW_HNFW","Household net financial wealth","L","Value","WMN","Women","USD","US Dollar","0","Units",,,71073,"E","Estimated value"
"NZL","New Zealand","IW_HNFW","Household net financial wealth","L","Value","WMN","Women","USD","US Dollar","0","Units",,,7480,"E","Estimated value"
"NOR","Norway","IW_HNFW","Household net financial wealth","L","Value","WMN","Women","USD","US Dollar","0","Units",,,8365,"E","Estimated value"
"POL","Poland","IW_HNFW","Household net financial wealth","L","Value","WMN","Women","USD","US Dollar","0","Units",,,10406,"E","Estimated value"
"PRT","Portugal","IW_HNFW","Household net financial wealth","L","Value","WMN","Women","USD","US Dollar","0","Units",,,29640,"E","Estimated value"
"SVK","Slovak Republic","IW_HNFW","Household net financial wealth","L","Value","WMN","Women","USD","US Dollar","0","Units",,,9651,"E","Estimated value"
"ESP","Spain","IW_HNFW","Household net financial wealth","L","Value","WMN","Women","USD","US Dollar","0","Units",,,23920,"E","Estimated value"
"SWE","Sweden","IW_HNFW","Household net financial wealth","L","Value","WMN","Women","USD","US Dollar","0","Units",,,55301,"E","Estimated value"
"CHE","Switzerland","IW_HNFW","Household net financial wealth","L","Value","WMN","Women","USD","US Dollar","0","Units",,,100812,"E","Estimated value"
"TUR","Turkey","IW_HNFW","Household net financial wealth","L","Value","WMN","Women","USD","US Dollar","0","Units",,,3317,"E","Estimated value"
"GBR","United Kingdom","IW_HNFW","Household net financial wealth","L","Value","WMN","Women","USD","US Dollar","0","Units",,,60065,"E","Estimated value"
"USA","United States","IW_HNFW","Household net financial wealth","L","Value","WMN","Women","USD","US Dollar","0","Units",,,132822,"E","Estimated value"
"BRA","Brazil","IW_HNFW","Household net financial wealth","L","Value","WMN","Women","USD","US Dollar","0","Units",,,6875,"E","Estimated value"
"CHL","Chile","IW_HNFW","Household net financial wealth","L","Value","WMN","Women","USD","US Dollar","0","Units",,,18141,"E","Estimated value"
"EST","Estonia","IW_HNFW","Household net financial wealth","L","Value","WMN","Women","USD","US Dollar","0","Units",,,7843,"E","Estimated value"
"ISR","Israel","IW_HNFW","Household net financial wealth","L","Value","WMN","Women","USD","US Dollar","0","Units",,,55932,"E","Estimated value"
"RUS","Russia","IW_HNFW","Household net financial wealth","L","Value","WMN","Women","USD","US Dollar","0","Units",,,3331,"E","Estimated value"
"SVN","Slovenia","IW_HNFW","Household net financial wealth","L","Value","WMN","Women","USD","US Dollar","0","Units",,,18912,"E","Estimated value"
"AUS","Australia","JE_EMPL","Employment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,72,,
"AUT","Austria","JE_EMPL","Employment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,73,,
"BEL","Belgium","JE_EMPL","Employment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,62,,
"CAN","Canada","JE_EMPL","Employment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,72,,
"CZE","Czech Republic","JE_EMPL","Employment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,67,,
"DNK","Denmark","JE_EMPL","Employment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,73,,
"FIN","Finland","JE_EMPL","Employment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,70,,
"FRA","France","JE_EMPL","Employment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,64,,
"DEU","Germany","JE_EMPL","Employment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,73,,
"GRC","Greece","JE_EMPL","Employment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,51,,
"HUN","Hungary","JE_EMPL","Employment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,57,,
"ISL","Iceland","JE_EMPL","Employment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,80,,
"IRL","Ireland","JE_EMPL","Employment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,59,,
"ITA","Italy","JE_EMPL","Employment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,58,,
"JPN","Japan","JE_EMPL","Employment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,71,,
"KOR","Korea","JE_EMPL","Employment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,64,,
"LUX","Luxembourg","JE_EMPL","Employment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,66,,
"MEX","Mexico","JE_EMPL","Employment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,61,,
"NLD","Netherlands","JE_EMPL","Employment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,75,,
"NZL","New Zealand","JE_EMPL","Employment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,72,,
"NOR","Norway","JE_EMPL","Employment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,76,,
"POL","Poland","JE_EMPL","Employment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,60,,
"PRT","Portugal","JE_EMPL","Employment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,62,,
"SVK","Slovak Republic","JE_EMPL","Employment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,60,,
"ESP","Spain","JE_EMPL","Employment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,56,,
"SWE","Sweden","JE_EMPL","Employment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,74,,
"CHE","Switzerland","JE_EMPL","Employment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,79,,
"TUR","Turkey","JE_EMPL","Employment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,49,,
"GBR","United Kingdom","JE_EMPL","Employment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,71,,
"USA","United States","JE_EMPL","Employment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,67,,
"BRA","Brazil","JE_EMPL","Employment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,67,,
"CHL","Chile","JE_EMPL","Employment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,62,,
"EST","Estonia","JE_EMPL","Employment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,67,,
"ISR","Israel","JE_EMPL","Employment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,67,,
"RUS","Russia","JE_EMPL","Employment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,69,,
"SVN","Slovenia","JE_EMPL","Employment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,64,,
"AUS","Australia","JE_EMPL","Employment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,78,,
"AUT","Austria","JE_EMPL","Employment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,78,,
"BEL","Belgium","JE_EMPL","Employment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,67,,
"CAN","Canada","JE_EMPL","Employment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,75,,
"CZE","Czech Republic","JE_EMPL","Employment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,75,,
"DNK","Denmark","JE_EMPL","Employment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,75,,
"FIN","Finland","JE_EMPL","Employment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,71,,
"FRA","France","JE_EMPL","Employment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,68,,
"DEU","Germany","JE_EMPL","Employment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,78,,
"GRC","Greece","JE_EMPL","Employment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,61,,
"HUN","Hungary","JE_EMPL","Employment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,63,,
"ISL","Iceland","JE_EMPL","Employment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,82,,
"IRL","Ireland","JE_EMPL","Employment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,62,,
"ITA","Italy","JE_EMPL","Employment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,68,,
"JPN","Japan","JE_EMPL","Employment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,80,,
"KOR","Korea","JE_EMPL","Employment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,75,,
"LUX","Luxembourg","JE_EMPL","Employment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,72,,
"MEX","Mexico","JE_EMPL","Employment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,79,,
"NLD","Netherlands","JE_EMPL","Employment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,80,,
"NZL","New Zealand","JE_EMPL","Employment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,78,,
"NOR","Norway","JE_EMPL","Employment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,78,,
"POL","Poland","JE_EMPL","Employment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,66,,
"PRT","Portugal","JE_EMPL","Employment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,65,,
"SVK","Slovak Republic","JE_EMPL","Employment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,67,,
"ESP","Spain","JE_EMPL","Employment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,61,,
"SWE","Sweden","JE_EMPL","Employment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,76,,
"CHE","Switzerland","JE_EMPL","Employment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,85,,
"TUR","Turkey","JE_EMPL","Employment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,69,,
"GBR","United Kingdom","JE_EMPL","Employment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,76,,
"USA","United States","JE_EMPL","Employment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,72,,
"BRA","Brazil","JE_EMPL","Employment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,79,,
"CHL","Chile","JE_EMPL","Employment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,74,,
"EST","Estonia","JE_EMPL","Employment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,70,,
"ISR","Israel","JE_EMPL","Employment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,71,,
"RUS","Russia","JE_EMPL","Employment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,74,,
"SVN","Slovenia","JE_EMPL","Employment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,67,,
"AUS","Australia","JE_EMPL","Employment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,67,,
"AUT","Austria","JE_EMPL","Employment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,67,,
"BEL","Belgium","JE_EMPL","Employment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,57,,
"CAN","Canada","JE_EMPL","Employment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,69,,
"CZE","Czech Republic","JE_EMPL","Employment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,58,,
"DNK","Denmark","JE_EMPL","Employment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,70,,
"FIN","Finland","JE_EMPL","Employment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,68,,
"FRA","France","JE_EMPL","Employment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,60,,
"DEU","Germany","JE_EMPL","Employment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,68,,
"GRC","Greece","JE_EMPL","Employment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,42,,
"HUN","Hungary","JE_EMPL","Employment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,52,,
"ISL","Iceland","JE_EMPL","Employment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,79,,
"IRL","Ireland","JE_EMPL","Employment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,55,,
"ITA","Italy","JE_EMPL","Employment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,48,,
"JPN","Japan","JE_EMPL","Employment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,61,,
"KOR","Korea","JE_EMPL","Employment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,53,,
"LUX","Luxembourg","JE_EMPL","Employment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,59,,
"MEX","Mexico","JE_EMPL","Employment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,45,,
"NLD","Netherlands","JE_EMPL","Employment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,70,,
"NZL","New Zealand","JE_EMPL","Employment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,67,,
"NOR","Norway","JE_EMPL","Employment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,74,,
"POL","Poland","JE_EMPL","Employment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,53,,
"PRT","Portugal","JE_EMPL","Employment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,59,,
"SVK","Slovak Republic","JE_EMPL","Employment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,53,,
"ESP","Spain","JE_EMPL","Employment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,51,,
"SWE","Sweden","JE_EMPL","Employment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,72,,
"CHE","Switzerland","JE_EMPL","Employment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,74,,
"TUR","Turkey","JE_EMPL","Employment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,29,,
"GBR","United Kingdom","JE_EMPL","Employment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,66,,
"USA","United States","JE_EMPL","Employment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,62,,
"BRA","Brazil","JE_EMPL","Employment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,55,,
"CHL","Chile","JE_EMPL","Employment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,50,,
"EST","Estonia","JE_EMPL","Employment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,65,,
"ISR","Israel","JE_EMPL","Employment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,62,,
"RUS","Russia","JE_EMPL","Employment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,65,,
"SVN","Slovenia","JE_EMPL","Employment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,61,,
"AUS","Australia","JE_EMPL","Employment rate","L","Value","HGH","High","PC","Percentage","0","Units",,,83,"E","Estimated value"
"AUT","Austria","JE_EMPL","Employment rate","L","Value","HGH","High","PC","Percentage","0","Units",,,86,"E","Estimated value"
"BEL","Belgium","JE_EMPL","Employment rate","L","Value","HGH","High","PC","Percentage","0","Units",,,82,"E","Estimated value"
"CAN","Canada","JE_EMPL","Employment rate","L","Value","HGH","High","PC","Percentage","0","Units",,,81,"E","Estimated value"
"CZE","Czech Republic","JE_EMPL","Employment rate","L","Value","HGH","High","PC","Percentage","0","Units",,,82,"E","Estimated value"
"DNK","Denmark","JE_EMPL","Employment rate","L","Value","HGH","High","PC","Percentage","0","Units",,,85,"E","Estimated value"
"FIN","Finland","JE_EMPL","Employment rate","L","Value","HGH","High","PC","Percentage","0","Units",,,85,"E","Estimated value"
"FRA","France","JE_EMPL","Employment rate","L","Value","HGH","High","PC","Percentage","0","Units",,,81,"E","Estimated value"
"DEU","Germany","JE_EMPL","Employment rate","L","Value","HGH","High","PC","Percentage","0","Units",,,88,"E","Estimated value"
